Entity,Code,Day,weekly_cases
80+,,2020-10-31,0.289592760180996
80+,,2020-11-07,0.282805429864253
80+,,2020-11-14,0.246606334841629
80+,,2020-11-21,0.262443438914027
80+,,2020-11-28,0.280542986425339
80+,,2020-12-05,0.529411764705882
80+,,2020-12-12,0.710407239819005
80+,,2020-12-19,1
80+,,2020-12-26,1.2420814479638
80+,,2021-01-02,1.60407239819005
80+,,2021-01-09,2.54298642533937
80+,,2021-01-16,2.88235294117647
80+,,2021-01-23,2.30542986425339
80+,,2021-01-30,1.87782805429864
80+,,2021-02-06,1.50452488687783
80+,,2021-02-13,1.04751131221719
80+,,2021-02-20,0.558823529411765
80+,,2021-02-27,0.595022624434389
80+,,2021-03-06,0.624434389140272
80+,,2021-03-13,0.402714932126697
